"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",-117.261085194776,156.737405513971,51.2297916331818,51.575335766153,2.65362940218429,43.1076505456228,27.8323392559452,23.2542782579877,-18.8883864496532,32.6382270312107
"2",-117.201262471671,156.684827699169,49.9121201955966,52.299837396298,-0.780471673409339,43.5796042811863,25.667718926221,25.7554379950209,-16.8776729632641,31.888383853367
"3",-117.264660588868,156.709511239642,50.539824062474,51.8842493708434,0.685413194270333,43.5241440666917,27.7962987087024,24.6195530831439,-16.8332478952209,32.6103659475253
"4",-117.27994034749,156.728557443614,50.7808666453614,51.1450940354635,-0.155837385521744,44.8050526231485,25.7861490403705,24.7883602316561,-18.0473560936798,33.176050072846
"5",-117.160947640419,156.669819834244,51.3575919839336,51.6492786025993,1.61925737820473,44.0581651486295,26.4557673480954,24.3959079267524,-17.5390854814697,32.6796482447969
"6",-117.268323959514,156.720958244969,50.1893485298549,52.5978971226226,1.43902473321167,45.5369372138615,26.5257109894311,24.910735948685,-15.7515230174046,32.8721397980818
"7",-117.23747801624,156.706781343352,48.9056556722336,52.1279570195395,2.70315080423123,44.5832258448187,26.5472021652856,25.2725006703867,-18.5055870466592,33.8162317288012
"8",-117.289783782769,156.721801403276,50.4383311983144,50.9130423500233,-0.795541017334349,42.7520090683206,25.856103260199,25.6110891784948,-16.5955397110597,33.4170041273656
"9",-117.213951524573,156.729846119016,50.1481187278068,49.9448859259752,0.764131678785348,45.1336867664482,27.6227036039727,23.7104904631338,-17.7581455921449,32.8661103164069
"10",-117.240792172822,156.743907593173,48.2338518539922,51.6606590328474,0.751328562377048,44.1020664399281,25.8507632186842,24.107766723695,-17.9685471742649,31.6769280221837
"11",-117.223798486461,156.660635072909,49.6042727533066,49.5754179176383,2.20100511210991,41.7039408114893,26.7978348980242,23.3931835143515,-18.0285207605814,34.859811950775
"12",-117.269189670117,156.690564294382,48.8918479225862,50.747563165736,-0.447575448430975,41.7839361122712,26.9050998603076,26.3666374652543,-16.5835605291537,32.1083708987637
"13",-117.224297216787,156.665679474023,51.8256615725045,51.1825098973428,0.88093951571076,43.5291889985307,27.5665359273383,23.0884046110234,-18.1812925730847,31.8174684060222
"14",-117.203892558061,156.68749217094,50.994662554249,50.5856100399888,1.78331329588757,44.2904857811691,25.392593686012,23.3415961698042,-17.6024289658191,33.2030870038029
"15",-117.199954063586,156.751399230514,50.3364239152044,51.968862473116,-0.417533757817356,44.1065379431275,26.2682314458733,23.6328134798619,-15.8738110204875,33.9697994692779
"16",-117.286683599966,156.75932030092,50.7513595611435,53.327776815959,0.518252789643754,43.0725625496153,27.5699287183436,26.9361916751309,-17.9713861374976,32.5284430885125
"17",-117.22289693762,156.738187994559,51.6167469508385,52.6479023828026,0.802125574872026,44.692582003461,26.7448030301898,23.7604679156138,-17.4046428307377,32.0465536511203
"18",-117.255301812281,156.696745220214,48.5980298575131,51.0355888703823,1.22053721298972,42.9203049382274,27.5195279672366,25.0098463996841,-17.2309586747265,32.8813763921293
"19",-117.344750306168,156.694572664915,50.2403487753415,51.5231619583218,1.09168632001137,44.9157486569642,25.606315401081,24.6869594222928,-16.4034921610656,33.9028886849263
"20",-117.200324067955,156.746913192949,51.6044534868598,52.103617688537,0.0382416301278703,44.3240313526572,25.8577041318571,24.2084053812924,-18.053895510207,32.4569760412914
"21",-117.231511669342,156.670252130045,49.945912721405,50.2588916004997,2.17051437578923,41.7405459186539,26.7371799035837,26.1884663922097,-17.0698744044255,31.7215171222452
"22",-117.245864847591,156.746716363162,50.4699948970337,50.8145072594131,1.56457735253494,43.1208048036052,26.0111205634683,25.1038926883446,-17.3195349561199,34.9181023373698
"23",-117.219828595534,156.731264614347,49.2620173343718,53.4345048940662,0.368760837217358,42.0590266335894,25.9109868005293,24.4139644724694,-15.8280144484259,32.8964459247549
"24",-117.234363808486,156.675555000835,51.749316041727,51.2072280801161,-0.000806517441556065,43.8310553171514,24.6076875644306,24.304457621239,-17.3752464178364,32.473616549373
"25",-117.226785028351,156.72316173014,51.8069295408906,51.5685814633246,1.60605744741442,43.4051002994812,29.6609763854311,26.2138379256384,-18.5187345411451,32.6355712552763
"26",-117.190780916174,156.661250661856,51.4518005280418,51.2282476576926,1.7735790572789,42.6761941490535,26.6853544042372,24.6946019493504,-17.419673295995,31.5424278622817
"27",-117.218194888421,156.680413775465,51.3071027129017,51.1607326716404,1.75501865124189,44.4049959364845,26.7074225779967,24.6364582374114,-17.1831915766639,32.1223542805406
"28",-117.250503741159,156.736387747818,50.4415919166714,51.4946040449155,1.12050399438125,43.5966723749604,26.7704450476134,24.2951968068066,-18.9878696527939,32.2928772130683
